SEQN,RIDAGEMN,RIDRETH1,DMDEDUC2,DMDMARTL
42422,613,1,1,3
42423,84,4,NA,NA
42424,774,4,4,1
42425,555,3,4,1
42426,881,3,4,1
42427,535,3,2,1
42428,637,3,4,1
42429,348,2,3,1
42430,343,3,3,1
42431,510,3,1,5
42432,277,1,2,1
42433,647,1,1,1
42434,265,1,2,5
42435,417,1,2,1
42436,456,2,3,1
42437,624,3,3,1
42438,806,1,3,3
42439,346,1,4,4
42440,373,3,5,5
42441,775,5,3,1
42442,100,2,NA,NA
42443,90,1,NA,NA
42444,825,3,3,1
42445,435,3,4,1
42446,255,1,2,5
42447,58,3,NA,NA
42448,54,4,NA,NA
42449,NA,3,1,2
42450,NA,4,2,2
42451,215,3,NA,NA
42452,658,5,4,1
42453,896,3,2,6
42454,NA,3,2,2
42455,91,1,NA,NA
42456,30,4,NA,NA
42457,334,1,3,5
42458,95,3,NA,NA
42459,688,3,5,1
42460,709,4,5,1
42461,97,3,NA,NA
42462,138,5,NA,NA
42463,19,3,NA,NA
42464,630,1,5,6
42465,118,3,NA,NA
42466,157,1,NA,NA
42467,335,3,4,6
42468,872,2,4,3
42469,148,1,NA,NA
42470,4,1,NA,NA
42471,604,3,5,1
42472,17,3,NA,NA
42473,636,3,5,3
42474,574,1,3,6
42475,327,3,5,5
42476,79,1,NA,NA
42477,310,1,1,6
42478,2,3,NA,NA
42479,666,4,3,3
42480,8,1,NA,NA
42481,370,1,5,6
42482,431,4,3,5
42483,711,1,4,1
42484,864,3,4,1
42485,96,3,NA,NA
42486,388,1,4,4
42487,140,1,NA,NA
42488,144,4,NA,NA
42489,339,1,3,1
42490,559,3,5,1
42491,725,2,1,3
42492,852,4,1,1
42493,685,3,5,3
42494,84,2,NA,NA
42495,578,4,3,3
42496,518,1,3,6
42497,502,5,1,3
42498,29,1,NA,NA
42499,105,3,NA,NA
42500,130,4,NA,NA
42501,233,4,NA,NA
42502,778,2,4,1
42503,476,1,5,1
42504,759,3,2,1
42505,35,3,NA,NA
42506,547,1,2,1
42507,380,3,2,1
42508,161,5,NA,NA
42509,475,1,3,1
42510,456,3,4,1
42511,29,3,NA,NA
42512,212,4,NA,NA
42513,112,3,NA,NA
42514,26,1,NA,NA
42515,96,1,NA,NA
42516,309,3,4,5
42517,724,4,5,3
42518,421,1,3,1
42519,746,1,1,1
42520,233,2,NA,NA
